,店內開盒遊戲列表,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
中文名稱,注音索引,英文名稱,語言版本,遊戲人數,放置櫃位,BGG玩家評分,BGG建議最佳人數,BGG遊戲時間(分鐘),BGG遊戲難度,BGG連結,所有人,店內熱門,定價,分類,標籤1,標籤2,標籤3
撿豆子,ㄐ,N/A,中,2,F5,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,,500,雙人,操作,,
螢火叢,ㄧ,Firefly,中,2-4,J6,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,,250,小品,,,
害你在心口難開,ㄏ,N/A,中,3-8,H4,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,v,300,派對,心機,嘴砲,
扇子狼人殺,ㄕ,N/A,中,3-8,H4,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,,580,陣營,心機,嘴砲,
狼人殺2020官方限定版,ㄌ,N/A,中,8-18,H4,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,v,880,陣營,心機,嘴砲,
狼人魔幻科技標準版,ㄌ,N/A,中,8-18,H4,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,v,450,陣營,心機,嘴砲,
咖啡烘焙師,ㄎ,Coffee Roaster,中,1,F5,7.4,1,10-30,2.11,https://boardgamegeek.com/boardgame/196526/coffee-roaster,烏嘎嘎,,880,策略,單人,,
星期五,ㄒ,Friday,中,1,F5,7.2,1,25,2.13,https://boardgamegeek.com/boardgame/43570/Friday,烏嘎嘎,,690,策略,單人,,
思路：和風庭園,ㄙ,Brains Japanese Garden,中,1,F5,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,,,抽象,單人,,
三視數謎,ㄙ,N/A,中,1,F5,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,,,抽象,單人,,
數羊,ㄕ,Shephy,日,1,K5,6.8,1,15,1.5,https://boardgamegeek.com/boardgame/150016/shephy,烏嘎嘎,,,小品,單人,,
數獨,ㄕ,Sudoku,日,1,L7,4.7,1,20,1.67,https://boardgamegeek.com/boardgame/20801/sudoku,烏嘎嘎,,1000,抽象,單人,,
Pyramid Arcade,N/A,Pyramid Arcade,英,1-10,2F,8,"2,4",5-180,2.4,https://boardgamegeek.com/boardgame/187988/pyramid-arcade,烏嘎嘎,,3000,抽象,棋類,牌類,邏輯
骰寫特魯瓦,ㄕ,Troyes Dice,中,1-10,J5,7.1,1-2,20-30,2.32,https://boardgamegeek.com/boardgame/284584/troyes-dice,烏嘎嘎,,,紙筆,骰寫,,
歡迎來到…,ㄏ,Welcome To…,中,1-100,J5,7.6,3-4,25,1.83,https://boardgamegeek.com/boardgame/233867/welcome,烏嘎嘎,,,紙筆,卡牌,,
王國製圖師,ㄨ,Cartographers: A Roll Player Tale,中,1-100,J5,7.7,3-4,30-45,1.89,https://boardgamegeek.com/boardgame/263918/cartographers,烏嘎嘎,,,紙筆,卡牌,台灣國產,
阿勒農場,ㄚ,Fields of Arle,英,1-2,D2,8.2,2,60-120,3.91,https://boardgamegeek.com/boardgame/159675/fields-arle,烏嘎嘎,,,策略,重策,工人擺放,
塔羅說書人,ㄊ,Tarot Storia,日,1-2,F3,6.5,1,10,1.2,https://boardgamegeek.com/boardgame/186767/shahrazad,烏嘎嘎,,,小品,,,
夢中迷情,ㄇ,Onirim,英,1-2,F3,6.7,1,15,1.65,https://boardgamegeek.com/boardgame/71836/onirim,烏嘎嘎,,,小品,單人,,
九局下半,ㄐ,Bottom of the 9th,中,2,F5,6.8,2,5-20,1.7,https://boardgamegeek.com/boardgame/166286/bottom-9th,烏嘎嘎,,,雙人,,,
尼安德特人,ㄋ,Neanderthal,中,1-3,I2,7.3,3,60-120,3.74,https://boardgamegeek.com/boardgame/171662/neanderthal,烏嘎嘎,,,策略,,,
搗蛋喵喵,ㄉ,Cat-Astrophe,中,1-3,K7,4.5,N/A,1-10,1,https://boardgamegeek.com/boardgame/346632/cat-astrophe,烏嘎嘎,,,兒童,平衡,,
亡命之徒,ㄨ,Hit Z Road,中,1-4,A4,6.9,4,30-60,1.91,https://boardgamegeek.com/boardgame/176083/hit-z-road,烏嘎嘎,,,策略,輕策,,
砂之國度,ㄕ,Realm of Sand,中,1-4,A4,6.8,3,30-60,2.04,https://boardgamegeek.com/boardgame/256623/realm-sand,烏嘎嘎,,,策略,輕策,,
貓與花毯,ㄇ,Calico,中,1-4,A4,7.7,2,30-45,2.2,https://boardgamegeek.com/boardgame/283155/calico,烏嘎嘎,,,抽象,幾何,板塊拼放,
骰子城,ㄕ,Dice City,英,1-4,B1,6.9,2,45-60,2.05,https://boardgamegeek.com/boardgame/179572/dice-city,烏嘎嘎,,,策略,輕策,工人擺放,卡牌combo
瘋王城堡：秘密擴充,ㄈ,Castles of Mad King Ludwig: Secrets,英,1-4,B1,7.4,N/A,45-90,2.73,https://boardgamegeek.com/boardgameexpansion/174296/castles-mad-king-ludwig-secrets,烏嘎嘎,,,策略,中策,板塊拼放,競標
城區,ㄔ,Subdivision,英,1-4,B2,6.6,N/A,45,2.35,https://boardgamegeek.com/boardgame/155173/subdivision,烏嘎嘎,,,策略,輕策,板塊拼放,
總督,ㄗ,Viceroy,中,1-4,,6.9,3,45-60,2.62,https://boardgamegeek.com/boardgame/157526/viceroy,烏嘎嘎,,,策略,輕策,卡牌combo,
瘋王城堡,ㄈ,Castles of Mad King Ludwig,英,1-4,B2,7.7,4,90,2.67,https://boardgamegeek.com/boardgame/155426/castles-mad-king-ludwig,烏嘎嘎,,,策略,中策,板塊拼放,競標
雲霄年代,ㄩ,CloudAge,中,1-4,C2,7.8,3,60-100,2.81,https://boardgamegeek.com/boardgame/316858/cloudage,烏嘎嘎,,,策略,中策,,
泰山,ㄊ,Mountain Tai,中,1-4,C2,7.2,4,60-100,3,https://boardgamegeek.com/boardgame/303120/mount-tai,烏嘎嘎,,,策略,中策,,
香港大停電,ㄒ,Blackout: Hong Kong,中,1-4,C2,7.5,3,75-150,3.48,https://boardgamegeek.com/boardgame/262215/blackout-hong-kong,烏嘎嘎,,,策略,重策,,
黑天使號,ㄏ,Black Angel,中,1-4,C2,7.3,3,60-120,3.85,https://boardgamegeek.com/boardgame/230244/black-angel,烏嘎嘎,,,策略,,,
馬拉開波,ㄇ,Maracaibo,中,1-4,C2,8.2,3,30-120,3.89,https://boardgamegeek.com/boardgame/276025/maracaibo,烏嘎嘎,,,策略,,,
倫敦商會,ㄌ,Guilds of London,中,1-4,C3,7,4,45-90,3.05,https://boardgamegeek.com/boardgame/134157/guilds-london,烏嘎嘎,,,策略,,,
牛頓,ㄋ,Newton,中,1-4,C3,7.6,3,90,3.4,https://boardgamegeek.com/boardgame/244711/newton,烏嘎嘎,,,策略,,,
猛犬嗷嗷,ㄇ,Beware of the Dog,日,1-4,C5,5.1,N/A,15,1,https://boardgamegeek.com/boardgame/34938/beware-dog,烏嘎嘎,,990,兒童,操作,,
血腥旅社,ㄒ,The Bloody Inn,英,1-4,D1,7,4,30-60,2.39,https://boardgamegeek.com/boardgame/180593/bloody-inn,凱豐,,,策略,輕策,卡牌combo,
XCOM: The Board Game,X,XCOM: The Board Game,英,1-4,D1,7,4,60-120,2.9,https://boardgamegeek.com/boardgame/163602/xcom-board-game,巴仔,,,策略,,,
花舍物語,ㄏ,Cottage Garden,英,1-4,D2,7.1,3,45-60,1.85,https://boardgamegeek.com/boardgame/204027/cottage-garden,烏嘎嘎,,,策略,抽象,板塊拼放,
暖秋物語,ㄋ,Indian Summer,中,1-4,D2,6.9,3,15-60,2.28,https://boardgamegeek.com/boardgame/233678/indian-summer,烏嘎嘎,,,策略,抽象,板塊拼放,
玻璃之路,ㄅ,Glass Road,英,1-4,D2,7.5,2,20-80,2.97,https://boardgamegeek.com/boardgame/143693/glass-road,烏嘎嘎,,,策略,,,
哈勒陶農場,ㄏ,Hallertau,中,1-4,D2,8.1,2,50-140,3.31,https://boardgamegeek.com/boardgame/300322/hallertau,烏嘎嘎,,,策略,,,
