,店內開盒遊戲列表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
中文名稱,注音索引,英文名稱,語言版本,遊戲人數,放置櫃位,BGG玩家評分,BGG建議最佳人數,BGG遊戲時間(分鐘),BGG遊戲難度,BGG連結,所有人,店內熱門,定價,租金,分類,標籤1,標籤2,標籤3,貼紙,圖片,教學,出處,玩家模式,遊戲簡介
夾豆子,ㄐ,DAISO Chopstick Bean Grabbing Game Chopstick Training,日,2,F5,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,,500,50,雙人,體感,,,綠色,v,,,輕鬆,
螢火叢,ㄧ,Firefly,中,2-4,J6,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,,250,50,小品,記憶,,,綠色,v,,,輕鬆,
害你在心口難開,ㄏ,N/A,中,3-8,H4,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,v,300,50,派對,心機,吹牛,,綠色,v,https://youtu.be/xLo--m6ced4?si=d57xmZGFiG2fVJTO,逸馬的桌遊小教室,輕鬆,
扇子狼人殺,ㄕ,N/A,中,3-8,H4,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,,580,100,陣營,心機,吹牛,,綠色,v,https://youtu.be/eoK2BnO4gJI?si=qMsInliMIqADxgZV,逸馬的桌遊小教室,動腦,
狼人殺2020官方限定版,ㄌ,N/A,中,8-18,H4,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,v,880,100,陣營,心機,吹牛,,綠色,v,,,動腦,
狼人魔幻科技標準版,ㄌ,N/A,中,8-18,H4,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,v,450,50,陣營,心機,吹牛,,綠色,v,,,動腦,
咖啡烘焙師,ㄎ,Coffee Roaster,中,1,F5,7.4,1,10-30,2.11,https://boardgamegeek.com/boardgame/196526/coffee-roaster,烏嘎嘎,,880,100,策略,單人,袋抽,,黃色,v,,,超燒腦,
星期五,ㄒ,Friday,中,1,F5,7.2,1,25,2.13,https://boardgamegeek.com/boardgame/43570/Friday,烏嘎嘎,,690,100,策略,單人,純純卡牌,牌庫構築,黃色,v,,,超燒腦,
思路：和風庭園,ㄙ,Brains Japanese Garden,中,1,F5,6.2,1,15,1.17,https://boardgamegeek.com/boardgame/244948/brains-family-burgen-and-drachen,烏嘎嘎,,500,50,抽象,單人,拼圖,,綠色,v,,,動腦,
三視數謎,ㄙ,N/A,中,1,F5,N/A,N/A,N/A,N/A,N/A,烏嘎嘎,,550,100,抽象,單人,,,綠色,v,,,動腦,
數羊,ㄕ,Shephy,日,1,K5,6.8,1,15,1.5,https://boardgamegeek.com/boardgame/150016/shephy,烏嘎嘎,,,,小品,單人,純純卡牌,,綠色,,,,動腦,
數獨,ㄕ,Sudoku,日,1,L7,4.7,1,20,1.67,https://boardgamegeek.com/boardgame/20801/sudoku,烏嘎嘎,,1000,100,抽象,單人,,,綠色,,,,動腦,
Pyramid Arcade,N/A,Pyramid Arcade,英,1-10,2F,8,"2,4",5-180,2.4,https://boardgamegeek.com/boardgame/187988/pyramid-arcade,烏嘎嘎,,3000,300,抽象,棋類,牌類,邏輯推理,紅色,,,,動腦,
骰寫特魯瓦,ㄕ,Troyes Dice,中,1-10,J5,7.1,1-2,20-30,2.32,https://boardgamegeek.com/boardgame/284584/troyes-dice,烏嘎嘎,,,,紙筆,骰寫,,,綠色,,,,超燒腦,
歡迎來到…,ㄏ,Welcome To…,中,1-100,J5,7.6,3-4,25,1.83,https://boardgamegeek.com/boardgame/233867/welcome,烏嘎嘎,,850,100,紙筆,純卡牌,,,綠色,v,https://youtu.be/Wg68v_L7r78?si=HeFwyn6mQ8qXE1Vf,勃根地桌遊,動腦,
王國製圖師,ㄨ,Cartographers: A Roll Player Tale,中,1-100,J5,7.7,3-4,30-45,1.89,https://boardgamegeek.com/boardgame/263918/cartographers,烏嘎嘎,,1350,150,紙筆,純卡牌,台灣國產,,綠色,v,,,動腦,
阿勒農場,ㄚ,Fields of Arle,英,1-2,D2,8.2,2,60-120,3.91,https://boardgamegeek.com/boardgame/159675/fields-arle,烏嘎嘎,,,,策略,重策,工人擺放,,紅色,,,,超燒腦,
塔羅說書人,ㄊ,Tarot Storia,日,1-2,F3,6.5,1,10,1.2,https://boardgamegeek.com/boardgame/186767/shahrazad,烏嘎嘎,,,,小品,,,,紅色,,,,,
夢中迷情,ㄇ,Onirim,英,1-2,F3,6.7,1,15,1.65,https://boardgamegeek.com/boardgame/71836/onirim,烏嘎嘎,,,,小品,單人,,,綠色,,,,,
九局下半,ㄐ,Bottom of the 9th,中,2,F5,6.8,2,5-20,1.7,https://boardgamegeek.com/boardgame/166286/bottom-9th,烏嘎嘎,,,,雙人,,,,綠色,,,,,
尼安德特人,ㄋ,Neanderthal,中,1-3,I2,7.3,3,60-120,3.74,https://boardgamegeek.com/boardgame/171662/neanderthal,烏嘎嘎,,,,策略,,,,紅色,,,,超燒腦,
搗蛋喵喵,ㄉ,Cat-Astrophe,中,1-3,K7,4.5,N/A,1-10,1,https://boardgamegeek.com/boardgame/346632/cat-astrophe,烏嘎嘎,,,,兒童,平衡,,,綠色,,,,輕鬆,
亡命之徒,ㄨ,Hit Z Road,中,1-4,A4,6.9,4,30-60,1.91,https://boardgamegeek.com/boardgame/176083/hit-z-road,烏嘎嘎,,,,策略,輕策,,,黃色,,,,,
砂之國度,ㄕ,Realm of Sand,中,1-4,A4,6.8,3,30-60,2.04,https://boardgamegeek.com/boardgame/256623/realm-sand,烏嘎嘎,,990,100,策略,輕策,,,綠色,v,https://youtu.be/QOd7S36cn2E?si=KAfqkovkhh3GZC52,勃根地桌遊,,
貓與花毯,ㄇ,Calico,中,1-4,A4,7.7,2,30-45,2.2,https://boardgamegeek.com/boardgame/283155/calico,烏嘎嘎,,,,抽象,幾何,板塊拼放,,綠色,v,,,,
骰子城,ㄕ,Dice City,英,1-4,B1,6.9,2,45-60,2.05,https://boardgamegeek.com/boardgame/179572/dice-city,烏嘎嘎,,,,策略,輕策,工人擺放,純卡牌combo,綠色,,,,,
瘋王城堡：秘密擴充,ㄈ,Castles of Mad King Ludwig: Secrets,英,1-4,B1,7.4,N/A,45-90,2.73,https://boardgamegeek.com/boardgameexpansion/174296/castles-mad-king-ludwig-secrets,烏嘎嘎,,,,策略,中策,板塊拼放,競標,黃色,,,,,
城區,ㄔ,Subdivision,英,1-4,B2,6.6,N/A,45,2.35,https://boardgamegeek.com/boardgame/155173/subdivision,烏嘎嘎,,,,策略,輕策,板塊拼放,,黃色,,,,,
總督,ㄗ,Viceroy,中,1-4,,6.9,3,45-60,2.62,https://boardgamegeek.com/boardgame/157526/viceroy,烏嘎嘎,,,,策略,輕策,純卡牌combo,競標,黃色,,,,,
瘋王城堡,ㄈ,Castles of Mad King Ludwig,英,1-4,B2,7.7,4,90,2.67,https://boardgamegeek.com/boardgame/155426/castles-mad-king-ludwig,烏嘎嘎,,,,策略,中策,板塊拼放,競標,黃色,,,,,
雲霄年代,ㄩ,CloudAge,中,1-4,C2,7.8,3,60-100,2.81,https://boardgamegeek.com/boardgame/316858/cloudage,烏嘎嘎,,2000,200,策略,中策,牌庫構築,手牌管理,紅色,v,,,超燒腦,
泰山,ㄊ,Mountain Tai,中,1-4,C2,7.2,4,60-100,3,https://boardgamegeek.com/boardgame/303120/mount-tai,烏嘎嘎,,,,策略,中策,合約,,紅色,,,,超燒腦,
香港大停電,ㄒ,Blackout: Hong Kong,中,1-4,C2,7.5,3,75-150,3.48,https://boardgamegeek.com/boardgame/262215/blackout-hong-kong,烏嘎嘎,,,,策略,重策,,,紅色,,,,超燒腦,
黑天使號,ㄏ,Black Angel,中,1-4,C2,7.3,3,60-120,3.85,https://boardgamegeek.com/boardgame/230244/black-angel,烏嘎嘎,,,,策略,中策,,,紅色,,,,超燒腦,
馬拉開波,ㄇ,Maracaibo,中,1-4,C2,8.2,3,30-120,3.89,https://boardgamegeek.com/boardgame/276025/maracaibo,烏嘎嘎,,2800,300,策略,重策,,,紅色,v,,,超燒腦,
