編號,中文名稱,英文名稱,BGG連結,BGG圖片編號,定價,狀態,買二送一,買一送一,買一送二,套組內容
328,掘跡藍星,Excavation Earth,https://boardgamegeek.com/boardgame/292126/excavation-earth,292126,4000,,v,,,
329,掘跡藍星-第二波,Excavation Earth: Second Wave,https://boardgamegeek.com/boardgameexpansion/310498/excavation-earth-second-wave,310498,4000,,v,,,
330,掘跡藍星-銀河博物館,Excavation Earth: It Belongs in a Museum,https://boardgamegeek.com/boardgameexpansion/341232/excavation-earth-it-belongs-museum,341232,4000,,v,,,
331,掘跡藍星: 漂亮盒子,Excavation Earth: Pretty Boxes & Ancient Artefacts,https://boardgamegeek.com/boardgameexpansion/328580/excavation-earth-pretty-boxes-ancient-artefacts,328580,4000,,v,,,
332,掘跡藍星: 垃圾金屬,Excavation Earth: Junk Tiles Promo Pack,https://boardgamegeek.com/boardgameexpansion/345047/excavation-earth-junk-tiles-promo-pack,345047,4000,,v,,,
301,重裝上陣-榮譽之戰,Reload- Fight for Fame,https://boardgamegeek.com/boardgame/293547/reload,293547,3740,,v,,,
302,重裝上陣-榮譽之戰 企業冠名戰隊包1擴充,Reload- Fight for Fame,https://boardgamegeek.com/boardgame/293547/reload,293547,3740,,v,,,
303,重裝上陣-榮譽之戰 奪旗賽擴充,Reload- Fight for Fame,https://boardgamegeek.com/boardgame/293547/reload,293547,3740,,v,,,
304,重裝上陣-榮譽之戰 轟隆鳴動擴充,Reload- Fight for Fame,https://boardgamegeek.com/boardgame/293547/reload,293547,3740,,v,,,
381,咖啡商人,Coffee Traders,https://boardgamegeek.com/boardgame/325022/coffee-traders,325022,3500,,v,,,
230,旭日戰魂錄,Rising Sun,https://boardgamegeek.com/boardgame/205896/rising-sun,205896,3490,,v,,,
132,快餐連鎖大亨,Food Chain Magnate,https://boardgamegeek.com/boardgame/175914/food-chain-magnate,175914,3300,,v,,,
15,俠鼠魔途,Mice and Mystics,https://boardgamegeek.com/boardgame/124708/mice-and-mystics,124708,3200,,,,v,
1,Pyramid Arcade,Pyramid Arcade,https://boardgamegeek.com/boardgame/187988/pyramid-arcade,187988,3000,,,v,,
25,阿克萊特,Arkwright,https://boardgamegeek.com/boardgame/300664/arkwright-card-game,300664,3000,,,v,,
396,大醫院小診所豪華版,Clinic: Deluxe Edition,https://boardgamegeek.com/boardgame/272739/clinic-deluxe-edition,,3000,,,,,
104,阿格拉,Agra,https://boardgamegeek.com/boardgame/230085/agra,230085,2800,,,v,,
388,王都布拉格,Praga Caput Regni,https://boardgamegeek.com/boardgame/308765/praga-caput-regni,,2800,,,,,
47,生化奇兵：無限,BioShock Infinite: The Siege of Columbia,https://boardgamegeek.com/boardgame/132428/bioshock-infinite-siege-columbia,132428,2600,,,v,,
325,瓦萊利亞之暗影王國,Shadow Kingdoms of Valeria,https://boardgamegeek.com/boardgame/285036/shadow-kingdoms-valeria,285036,2600,,v,,,
326,瓦萊利亞之暗影王國：泰坦崛起,Shadow Kingdoms of Valeria: Rise of Titans,https://boardgamegeek.com/boardgameexpansion/337461/shadow-kingdoms-valeria-rise-titans,337461,2600,,v,,,
358,大不里士豪華版,Tabriz,https://boardgamegeek.com/boardgame/349369/tabriz,349369,2600,,v,,,
20,恐龍島,Dinosaur Island,https://boardgamegeek.com/boardgame/221194/dinosaur-island,221194,2500,,,v,,
28,漫威英雄套牌構築遊戲,Legendary: A Marvel Deck Building Game,https://boardgamegeek.com/boardgame/129437/legendary-marvel-deck-building-game,129437,2500,,,v,,
264,葡萄酒莊,Vinhos,https://boardgamegeek.com/boardgame/42052/vinhos,42052,2500,,,v,,
262,圓桌武士：梅林,Shadows over Camelot: Merlin's Company,https://boardgamegeek.com/boardgameexpansion/35704/shadows-over-camelot-merlins-company,35704,2400,,,v,,
351,熱力狂飆,Heat: Pedal to the Metal,https://boardgamegeek.com/boardgame/366013/heat-pedal-to-the-metal,366013,2400,,v,,,
122,礦井人生,Haspelknecht,https://boardgamegeek.com/boardgame/169794/haspelknecht-story-early-coal-mining,169794,2350,,,v,,
347,終焉帝國,Empire's Epic,https://boardgamegeek.com/boardgame/356952/empires-end,356952,2350,,v,,,
120,比薩快遞,Papà Paolo,https://boardgamegeek.com/boardgame/195867/papa-paolo,195867,2280,,,v,,
243,權力的遊戲,A Game of Thrones: The Board Game,https://boardgamegeek.com/boardgame/103343/game-thrones-board-game-second-edition,103343,2250,,,v,,
355,死灰之冠豪華版,Crown of Ash,https://boardgamegeek.com/boardgame/354307/crown-of-ash,354307,2250,,v,,,
315,呼嘯山脈,Whistle Mountain,https://boardgamegeek.com/boardgame/177478/iki,177478,2200,,,v,,
128,諾瑞亞雲中城,Noria,https://boardgamegeek.com/boardgame/233676/noria,233676,2190,,,v,,
346,布魯塞爾1893,Bruxelles 1893,https://boardgamegeek.com/boardgame/144592/bruxelles-1893,144592,2190,,v,,,
389,特利斯墨吉斯忒斯：終極煉金配方,Trismegistus: The Ultimate Formula,https://boardgamegeek.com/boardgame/281442/trismegistus-the-ultimate-formula,,2190,,,,v,
87,暴走彈彈獸,Terror in Meeple City,https://boardgamegeek.com/boardgame/97903/terror-meeple-city,97903,2180,,,v,,
16,溫達克,Wendake,https://boardgamegeek.com/boardgame/229265/wendake,229265,2150,,,v,,
95,托爾圖加 2199,Tortuga 2199,https://boardgamegeek.com/boardgame/265017/tortuga-2199,265017,2100,,,v,,
285,留里克王朝：基輔的黎明,Rurik: Dawn of Kiev,https://boardgamegeek.com/boardgame/228328/rurik-dawn-kiev,228328,2100,,,v,,
147,古巴,Cuba,https://boardgamegeek.com/boardgame/30380/cuba,30380,2050,,,,v,
24,巴西帝國,Brazil: Imperial,https://boardgamegeek.com/boardgame/249277/brazil-imperial,249277,2000,,,v,,
146,異種: 七宗罪,The Others,https://boardgamegeek.com/boardgame/172047/others,172047,2000,,,,v,
154,慢車小鎮,Whistle Stop,https://boardgamegeek.com/boardgame/221318/whistle-stop,221318,2000,,,v,,
167,動物大臨演,Histrio,https://boardgamegeek.com/boardgame/182120/histrio,182120,2000,,,,v,
279,點陣圖,PIX,https://boardgamegeek.com/boardgame/67181/pix,67181,2000,,,,v,
357,月光光心慌慌,Halloween,https://boardgamegeek.com/boardgame/380175/halloween,380175,1990,,v,,,
21,唐苑,Tang Garden,https://boardgamegeek.com/boardgame/252153/tang-garden,252153,1980,,,v,,
199,芝加哥特快車,Chicago Express,https://boardgamegeek.com/boardgame/31730/chicago-express,31730,1980,,,,v,
171,西部傳奇,Western Legends,https://boardgamegeek.com/boardgame/232405/western-legends,232405,1950,,,,v,
341,奈斯爾傳奇,Sabika,https://boardgamegeek.com/boardgame/360265/sabika,360265,1900,,v,,,
354,風語花鄉,Windmill Valley,https://boardgamegeek.com/boardgame/403441/windmill-valley,403441,1890,,v,,,
27,帝國開拓者,Imperial Settlers,https://boardgamegeek.com/boardgame/154203/imperial-settlers,154203,1860,,,v,,
75,地城領主,Dungeon Lords,https://boardgamegeek.com/boardgame/45315/dungeon-lords,45315,1850,,,v,,
127,黃金時代,The Golden Ages,https://boardgamegeek.com/boardgame/164338/golden-ages,164338,1800,,,v,,
141,特攻神諜,Specter Ops,https://boardgamegeek.com/boardgame/155624/specter-ops,155624,1800,,,v,,
392,海灣船長,Captains of the Gulf,https://boardgamegeek.com/boardgame/255455/captains-of-the-gulf,,1800,,,,v,
185,霸業2030,Imperial 2030,https://boardgamegeek.com/boardgame/54138/imperial-2030,54138,1795,,,,v,
219,羅馬競技場,Colosseum,https://boardgamegeek.com/boardgame/27746/colosseum,27746,1780,,,v,,
9,遠征紐戴爾,Expedition to Newdale,https://boardgamegeek.com/boardgame/272682/expedition-newdale,272682,1750,,,v,,
42,方程式賽車,Formula D,https://boardgamegeek.com/boardgame/37904/formula-d,37904,1750,,,v,,
58,侍,Samurai,https://boardgamegeek.com/boardgame/3/samurai,3,1750,,,v,,
348,DELTA,DELTA,https://boardgamegeek.com/boardgame/368263/delta,368263,1750,,v,,,
349,巨魔與公主,Trolls and princesses,https://boardgamegeek.com/boardgame/371873/trolls-and-princesses,371873,1750,,v,,,
393,部落崛起,Rise of Tribes,https://boardgamegeek.com/boardgame/202583/rise-of-tribes,,1750,,,v,,
8,富途共樂,Futuropia,https://boardgamegeek.com/boardgame/258389/futuropia,258389,1690,,,v,,
13,聊齋,Ghost Stories,https://boardgamegeek.com/boardgame/37046/ghost-stories,37046,1690,,,v,,
307,月海礦場,Luna Maris,https://boardgamegeek.com/boardgame/319392/luna-maris,319392,1690,,,v,,
308,蝕器紀元,Corrosion,https://boardgamegeek.com/boardgame/344277/corrosion,344277,1650,,,v,,
370,珊瑚計畫,Reef Project,https://boardgamegeek.com/boardgame/419199/reef-project,419199,1650,,v,,,
380,無敵少俠,Invincible: The Hero-Building Game,https://boardgamegeek.com/boardgame/396251/invincible-the-hero-building-game,396251,1650,,v,,,
14,醫學之父,Hippocrates,https://boardgamegeek.com/boardgame/327971/hippocrates,327971,1600,,,v,,
168,寶藏獵人,Treasure Hunter,https://boardgamegeek.com/boardgame/182189/treasure-hunter,182189,1600,,,,v,
394,地產大亨:權力的遊戲,Monopoly: Game of Thrones,https://boardgamegeek.com/boardgame/265571/monopoly-game-of-thrones,,1600,,,v,,
397,落葉翩翩:豪華版,Leaf,https://boardgamegeek.com/boardgame/368676/leaf,,1600,,,v,,
400,餘燼燃起,Ashes Reborn: Rise of the Phoenixborn,https://boardgamegeek.com/boardgame/167400/ashes-reborn-rise-of-the-phoenixborn,167400,1600,,,v,,
94,生態農場,Fields of Green,https://boardgamegeek.com/boardgame/200954/fields-green,200954,1590,,,v,,
153,瘋狂建築工,Men at Work,https://boardgamegeek.com/boardgame/261114/men-work,261114,1580,,v,,,
202,魔數大師,Master of Mathemagicain,N/A,,1580,,,,v,
26,捕鯨船,New Bedford,https://boardgamegeek.com/boardgame/157413/new-bedford,157413,1520,,,v,,
4,尼安德特人,Neanderthal,https://boardgamegeek.com/boardgame/171662/neanderthal,171662,1500,,,v,,
17,夢境之地,Dreamscape,https://boardgamegeek.com/boardgame/231038/dreamscape,231038,1500,,,v,,
19,格陵蘭島,Greenland (Third Edition),https://boardgamegeek.com/boardgame/266447/greenland-third-edition,266447,1500,,,,v,
34,拯救路,Salvation Road,https://boardgamegeek.com/boardgame/153991/salvation-road,153991,1500,,,v,,
35,夏洛克福爾摩斯,Sherlock Holmes Consulting Detective,https://boardgamegeek.com/boardgame/2511/sherlock-holmes-consulting-detective-thames-murder,2511,1500,,,v,,
97,歐提斯：海淵,OTYS,https://boardgamegeek.com/boardgame/222542/otys,222542,1500,,,v,,
131,雲南,Yunnan,https://boardgamegeek.com/boardgame/143401/yunnan,143401,1500,,,v,,
291,狂熱獨角獸,Unicorn Fever,https://boardgamegeek.com/boardgame/245658/unicorn-fever,245658,1500,,v,,,
294,美麗新世界,It's a Wonderful World,https://boardgamegeek.com/boardgame/271324/its-wonderful-world,271324,1500,,v,,,
327,雨後新香,Petrichor,https://boardgamegeek.com/boardgame/210274/petrichor,210274,1500,,,,v,
390,街口：傳承,Machi Koro Legacy,https://boardgamegeek.com/boardgame/259081/machi-koro-legacy,,1500,,,v,,
89,御竹園,Takenoko,https://boardgamegeek.com/boardgame/70919/takenoko,70919,1490,,,v,,
130,圓樓,Round House,https://boardgamegeek.com/boardgame/205498/round-house,205498,1490,,,v,,
175,駱駝大賽紙牌版,Camel Up Cards,https://boardgamegeek.com/boardgame/192947/camel-cards,192947,790,,,v,,
289,蒸汽,Steam,https://boardgamegeek.com/boardgame/329591/ultimate-railroads,329591,1490,,,,v,
323,煞有其時,That Time You Killed Me,https://boardgamegeek.com/boardgame/344258/time-you-killed-me,344258,1490,,,v,,
344,花園國度,Garden Nation,https://boardgamegeek.com/boardgame/341245/garden-nation,341245,1490,,,v,,
107,女僕之心３,Tanto Cuore: Oktoberfest,https://boardgamegeek.com/boardgame/158130/tanto-cuore-oktoberfest,158130,1440,,,,v,
59,南極危機,Antarctica,https://boardgamegeek.com/boardgame/182074/antarctica,182074,1400,,,v,,
169,紐約之王,King of Newyork,https://boardgamegeek.com/boardgame/160499/king-new-york,160499,1400,,,v,,
170,辣椒之王,Scoville,https://boardgamegeek.com/boardgame/145659/scoville,145659,1400,,,,v,
312,天下無雙 第一戰：傳奇之戰,天下無雙 第一戰：傳奇之戰,https://boardgamegeek.com/boardgame/274637/unmatched-battle-legends-volume-one,274637,1400,,,v,,
352,三環馬戲團,3 Ring Circus,https://boardgamegeek.com/boardgame/371947/3-ring-circus,371947,1400,,v,,,
7,倫敦商會,Guilds of London,https://boardgamegeek.com/boardgame/134157/guilds-london,134157,1390,,,v,,
74,光合作用,Photosynthesis,https://boardgamegeek.com/boardgame/218603/photosynthesis,218603,1390,,,v,,
115,記帳城市,Fortune City,https://boardgamegeek.com/boardgame/254135/fortune-city,254135,1390,,,,v,
118,奧法之戰,Res Arcana,https://boardgamegeek.com/boardgame/262712/res-arcana,262712,1390,,,v,,
313,曼陀羅石,Mandala Stones,https://boardgamegeek.com/boardgame/317504/mandala-stones,317504,1390,,,v,,
48,古巴：聖地牙哥,Santiago de Cuba,https://boardgamegeek.com/boardgame/104347/santiago-de-cuba,104347,1350,,,,v,
56,人類起源,Origin,https://boardgamegeek.com/boardgame/127095/origin,127095,1350,,,v,,
105,穆拉諾 光影大師,Murano Light Masters,https://boardgamegeek.com/boardgame/341256/murano-light-masters,341256,1350,,,,v,
124,第九號交響曲,Symphony No.9,https://boardgamegeek.com/boardgame/244141/symphony-no9,244141,1350,,,,v,
189,鯊魚博士,Dr. Shark,https://boardgamegeek.com/boardgame/108783/dr-shark,108783,1350,,,,v,
265,說夢人,When I Dream,https://boardgamegeek.com/boardgame/198454/when-i-dream,198454,1350,,,v,,
314,派遣小鎮,Townsfolk Wanted!,https://boardgamegeek.com/boardgame/371932/townsfolk-wanted,371932,1350,,,v,,
324,橡樹秘境,Oak,https://boardgamegeek.com/boardgame/343362/oak,343362,1350,,,v,,
337,印加聖谷,Urubamba Valley,https://boardgamegeek.com/boardgame/391162/urubamba-valley,391162,1350,,,v,,
6,骰子城,Dice City,https://boardgamegeek.com/boardgame/179572/dice-city,179572,1320,,,,v,
96,海盜幣,Piratoons,https://boardgamegeek.com/boardgame/172560/piratoons,172560,1320,,,,v,
155,Pralaya,Pralaya,https://boardgamegeek.com/boardgame/187590/pralaya,187590,1320,,,,v,
46,奧卡諾根：湖之山谷,Okanagan: Valley of the Lakes,https://boardgamegeek.com/boardgame/230089/okanagan-valley-lakes,230089,1300,,,,v,
85,米寶戰爭,Meeple War,https://boardgamegeek.com/boardgame/192120/meeple-war,192120,1300,,,,v,
310,逃脫檔案：蛇藤林的孩子們,Escape Tales: Children Of Wyrmwoods,https://boardgamegeek.com/boardgame/299800/escape-tales-children-wyrmwoods,299800,1300,,v,,,
119,馭風之王,Sultans of Wind,https://boardgamegeek.com/boardgame/207809/sultans-wind,207809,1290,,v,,,
149,叢林智慧棋,Bumuntu,https://boardgamegeek.com/boardgame/201006/bumuntu,201006,1290,,v,,,
207,終極戰士,Ultimate Warriorz,https://boardgamegeek.com/boardgame/100679/ultimate-warriorz,100679,1290,,,v,,
333,賽馬大亨,Ready Set Bet,https://boardgamegeek.com/boardgame/351040/ready-set-bet,351040,1290,,v,,,
343,環世80天,80Days,https://boardgamegeek.com/boardgame/348503/80-days,348503,1290,,v,,,
179,靈能偵探,Paranormal Detectives,https://boardgamegeek.com/boardgame/280136/paranormal-detectives,280136,1280,,v,,,
305,瞄準！開砲！霹靂投石車,Catapult kingdoms,https://boardgamegeek.com/boardgame/310789/catapult-feud,310789,1280,,v,,,
284,名偵大賽,Awkward Guests,https://boardgamegeek.com/boardgame/188866/awkward-guests,188866,1250,,,v,,
336,翻滾雲霄飛車,Roller Coaster Rush,https://boardgamegeek.com/boardgame/379644/roller-coaster-rush,379644,1250,,,v,,
5,亡命之徒,Hit Z Road,https://boardgamegeek.com/boardgame/176083/hit-z-road,176083,1200,,,,v,
12,繽紛夜光蟲,Noctiluca,https://boardgamegeek.com/boardgame/269752/noctiluca,269752,1200,,,,v,
93,皇后的項鍊,Queen's Necklace,https://boardgamegeek.com/boardgame/6068/queens-necklace,6068,1200,,,,v,
100,世博１８９３,World's Fair 1893,https://boardgamegeek.com/boardgame/178336/worlds-fair-1893,178336,1200,,,,v,
142,騎士精神,Chivalry,https://boardgamegeek.com/boardgame/251586/chivalry,251586,1200,,,,v,
145,撰寫文明史,Cvlizations,https://boardgamegeek.com/boardgame/181494/cvlizations,181494,1200,,,,v,
148,西班牙鐵路,Iberian Rails,https://boardgamegeek.com/boardgame/206859/iberian-rails,206859,1200,,,,v,
161,聖鳥之城,Quetzal,https://boardgamegeek.com/boardgame/300700/quetzal,300700,1200,,,v,,
201,迷你都市,Micropolis,https://boardgamegeek.com/boardgame/239840/micropolis,239840,1200,,,,v,
233,Argoat,Argoat,https://boardgamegeek.com/boardgame/226616/argoat,226616,1200,,,,v,
334,飛行船都市,Airship City,https://boardgamegeek.com/boardgame/256442/airship-city,256442,1200,,,,v,
395,地產大亨:死侍收藏版,Monopoly: Deadpool,https://boardgamegeek.com/boardgame/253819/monopoly-deadpool,,1200,,,v,,
